comment,label
Its modi   who do not accept funds and dance on the tunes of china as it was once with khangress.,1
#farmers #pleasesupportfarmer,1
Its all modi fault modi go agree with farmers Highway. Will reopen. Same day.  Why he no care.,1
"Farmers have been violating law, ",0
Ravish Kumar style in funny way. Truly a gem,1
IS TIKAIT PREGNANT,0
I support this bill,1
I did Rakesh ticket I need to know how come we,1
Farmers from any where in India are very peaceful people this violence was deliberately done by ruling party to break morale of farmers,1
Farmers protesters are creating more trouble. The murder was not done a single person. Group was involved. But now Farmers protesters are in trouble and Surrendered one suspect. But entire Farmers Group are nit peaceful protesters.  Rakash takit are causing great pain to all road users in public. Rakesh takit if you have guts and talent.  Contest elections and repeal the farms laws. But instead blackmail or threatened has caused the Farmers protest as a mockery and hidden agenda of Congress and TMC or Owassi.,0
Modi lose farmers win,1
Farmers all over india to be helped by govt.,1
"the farmers protesting the farm bill are not only sikhs. In Punjab and Haryana  there are Hindu farmers , Sikh farmers Muslim farmers.  in Punjab and Haryana, the farmers are not only from from jatt caste or sikhs, there are also pundits, Brahmins , and dogar farmers in Punjab.  Farmers feed the nation.Big companies like Tata, Birla, Reliance, Ebany,  Adnany , these big companies are  controlling Modi. These bills are designed to   make  each farmer compete against each other so that big companies can buy crops at lowest rate, because farmer will have no option to sell to another buyer due to lack of logistics and lack  resources , and  the big companies have the logistics and they  will buy at lowest cost from Farmers and  export to other countries. This  will cause  food shortage in India,because big companies will  able to export the crops to more profitable buyers in other countries and the food prices will get more expensive in india. Modi is working for the  business tycoons, and big companies. The GST is hurting the small shops, small factories, Modi needs to be removed from his throne.",1
"IS TIKAIT KI BAAT SUN KE TO ESAA LAGTA HAI , KI DESH ME MILITRY RULE HONA CHAHIYE.",0
"What about farmers in rest of the states? Government should divide the procurement According to state population and distance from source. We get substandard rice and wheat in Kerala, if Minimum support price procurement is used in andhrapradesh or tamilnadu properly..we could eat something that comes through public distribution... not even chicken eats rise from public distribution. Monopoly should be stopped.",1
"Farmers in India are brave, especially sikh community.",1
modi fuddu... why addressing bigar and not talking about protest and doubts of people of punjab,1
Farmers should not forget the death of 700+ farmers and murder of few by BJP minister.,1
No farmers  NO FOOD,1
I support our farmers but beating policeman no not at all acceptable. No it shouldnt have happen,1
RAKESH TIKAIT WANTS TO BE NEXT PM OF INDIA  INDIA HAS BRIGHT FUTURE,1
Farmers protest political issues for Congress &opposite party.,0
We support Indian farmers bills,1
Ye Repeal ab aurr Protest ko bdhawa dega for sure! ,0
We are support farmers Bhai,1
Support & Save Indian Farmer's ,1
Farmers never behave in this way.,0
Support farmers who grow food for mankind not the politicians who eat human flesh,1
"Farmers view are right .The private sectors are not suitable for a country like India,but what can we do our Govt is easily sold by the private person .This is the sign of gulami ,as we are by the Britishers in history .Very sad to say that the Govt is unable to learn any thing from history.",1
Farmers Bills will not be taken back.,0
Modi govt should compensate loss of lives of our 700 farmers..#RIP,1
"If all farmers around the country or even world demand extra money in lieu to prevent stubble burning, what will happen to the environment?",0
"Ravish Kumar shows are nowadays almost as popular as the cooking channel my cousin sister runs, great job guys ",1
Modi ji ye log to khalistani or desht rohi the kissan thodi na the to fir q ghar jane de rahe hai oh acha ab samjh aaya UP mein election hai na,0
Support the farmers!!  Shame on Modi goverment!!,1
"Modi is getting salary for PM job. He must resign first, then work for BJP. Modi has made PM job just fun.",1
FARMERS AGITATION will prove a final blow to the enemies of democracy....,1
"""Farmers across the country are protesting the farm bills"" Is this thing true? AFAIK only the farmers from Punjab, Haryana and UP are protesting. What about other parts of the country? Can you guys do ground reporting on the other parts of the country to know their opinions?",0
I support our feeder . I stand with them all . ,1
"Modi thinks , if he has been given full majority he can do anything and nobody gonna question him. But he is forgetting , he is not immortal.  There have been thousands like him who came and gone from this universe. ",1
To support the unemployment ,0
Modi government  is very cruel,1
You all Farmers are PRIDE AND FATHER OF BHARAT nation and just because you work in Agriculture sector.. we all can eat Healthy..,1
No support in western UP for tikait....bheed jutta rakhi h...,0
Modi is the best thing that happened to India. ,0
Farmers in future - we need development and reform in farming ,0
Tikait gave a befitting reply to Navika ... ap ladlo election,1
"Farmers of West, south & north east Support these Reforms.. more than Happy for reforms. These reforms were Boon for them.",0
My support day to day increase to Ravish kumar,1
Now Farmers are losing their credibility.,0
"Rakesh tikait ji aap feature ke prime minister ho, 2024 mein aap apni party banao please,  love from Hyderabad,",1
We are with farmers ,1
"Just farmers of 3 states were protesting and I womder they are so poor that they could fund protests for one year... They are essentially intermediaries and treaders who could not see they commission going away... There are lots of small farmers benefited from this but no no no. .. why do we focus on positive till negative news can help to earn TRP. Indian problems are uniquely indian and western countries can't do much except spreading their version and possibly defame other countries.. remember, they were reforms and leaders of so called protests were supporting it initially until they saw political opportunity.",0
Farmers matter a lot,1
"Modi ,amitsha, Adani and their family cannot sleep in peace taday,  they want money, sir you can't eat money, ,,,,",1
I support all the farmer's demands except no.4,1
Farmers must stand united & stick to their demand of officially repealing the farm laws in the Parliament & provide MSP as a guarantee by way of a fresh bill of Parliment.,1
Modi has no power on these people,1
Pehle farmers suicide  nahi karte the hna or pehle to farmers  ki conditions  boht achi thi thik kia wapis lere h Kanoon ko kyonki bhens ke aage been bjane ke kya faida,1
was our farmers were happy before these farm laws ? Do our country farmers dont want any new farm laws ammendments ?,0
MODI g press conference karo naa,0
Farmers all over the World are standing up and speaking truth to power !  The government in India must be changed to one that honors all of its people !  Eliminate the people who divide and subjugate the masses !  4,1
We support the farmers of India.,1
"But farmers are skeptical, fearing that the removal of state protections that they already consider insufficient would leave them at the mercy of greedy corporations.",1
Farmers must not stop. Keep Marching. ,1
Did all these farmers not voted for the PM who is enjoying when all of them  are now on roads in rain & cold? How are they going to correct their mistake of their past?,1
Modi agr thodi bhut srm h to roti khane chod de gu khale,1
Tikait is a Jaychand. Bharat be careful.,0
Ravish kumar jl is the best,1
MODI is the Greatest PM of all time.,0
"Modi govt cow down towards the hooligans minorities for their political gain. Modi is trying to convince his hater that he respect democratic values. His hater will never get convinced. Meanwhile, he would miss one reform after another if this retreating continues. Sad",1
The Farmers Bill is right why they are protesting ,0
Modi ji is a strong leader. He had given up due to certain reasons. But all these will repent for their decision in future. We are and were with Modi ji always.,0
Rakesh Tikait is raising one of the most important questions of the Indian society. It is a solid defense of Indian constitution. He is defining secularism.,1
We support   ,1
"Support to farmers,",1
"The support in Canada and UK parliament was all because of Sikhs who had migrated there post 47 and then genocide of 84. The generations of hardworking Sikhs have toiled hard in these countries and created respectable portions for them in all sectors, including politics. They have used their  influence really positively for their rights",1
" Before Modi celebrated his 4th birthday,  India created the Atomic Energy Establishment, Trombay (AEET). It was later renamed as Bhabha Atomic Research Centre.",1
Modi government supporting the so called  Khalistani people  ..,1
"...MY SUPPORT AND RESPECT TO THE GREATEST NATION OF PEOPLE ON THIS EARTH...THE BEAUTIFUL,DESCENT,KIND,INTELLIGENT,LOVING AND GIVING PEOPLE..THE SIKHS..IM A WHITE ENGLUSH MAN BUT I WOULD FIGHT AND DIS ALONG SIDE THEM...YOU'VE REALLY GOT TO BE SOMEONE SPECIAL TO BE A SIKH...ESPECIALLY IN THIS WORLD,WITH ITS DARK,CRUEL AND EVIL WAYS.....GOD BLESS YOU ALL...AND MAY YOUR GODS WATCH OVER AND PROTECT YOU...AND ALWAYS ANSWER YOUR CALL..",1
Rakesh tiket Des dorohi Congress pati he,0
modi or rahul gandhi . any right minded knows who to choose,0
These are farmers. They always feed. They are free from evil thoughts.Some idiots doubt the source of food. They will always remain Andh Bhakt. They believe in their anna data. We trust our farmers,1
"Do farmers really watch parliamentary debates? Does any meaningful discussion ever happen during parliamentary debates? The opposition wouldn't have agreed even if there were lengthy discussions. In the end, it would have come to a vote in parliament on the laws and the majority would get their way. Also by your logic, government should consult everyone on income tax, defence related laws. This way we'll never be able to pass any law. One should either believe in democracy or not. Once a government is chosen by majority, one must allow them to operate rather than blockading cities.",0
MODI ADANI AND AMBANI ARE BIRDS OF THE SAME FEATHER. MODI SHOULD BE MADE ACCOUNTABLE TO THE PEOPLE OF INDIA.,1
Farmers:riot,0
I support farm laws,0
"We support to our farmers brothers and we salute for their dedication, they are not begging,they need their rights,",1
"farmers had attacked the convoy with stones, and that one of his cars overturned as a result, crushing two farmers. Angry farmers then attacked and killed his driver and three BJP workers travelling in the convoy",0
"- If farmers were protesting, who was tilling the land as stubble burning has gone up 30% this year!",0
Modi should resign,1
Farmers always right,1
Farmers bill recall - Massive Win for Indian Democracy today,1
But the farmers can still sell in the mandi right?,0
"Rakesh Ticket is your father,you both are trying to be smart .you have as wisdom as Mr.Tiket has in his toe.",0
Farmers are terrorist? All I see is old people being beaten up by young police officers. Shame on them!  Hope the farmers win! Best of luck  ,1
Farmers are given permission to protest but broke the rules which are wrong.,0
We are with farmers,1
Punjab get himself declared in Girdawari i.e. Revenue Records as Khud ,0
This is a Khalistan movement. And thats a Khalistan flag.,0
i support CAA nd NRC. I support kisan.         CAA nd NRC hona hi chahiye,1
I am with the farmers but I also feel sad for ur loss.,1
farmers are usurped by the Rich / Super Rich farmers. NRI owners of ,0
These farmers are getting taste of their own master they elected twice. - Karma,1
Farmers community's demand of withdrawing the farm laws  to be taken seriously and urgent action accordingly.,1
FARMERS MUST THANKS TO NDTV,1
I support the farmers. Down with fascist govt.,1
Punjab is Ruined because they are 5m4 Punjab,0
